,購入日時,商品名,価格,販売者名(URL),商品ＩＤ,商品URL
0,2022年1月14日,物語シリーズ　火憐　月火　フィギュア　まとめ売り,3600.0,Ryuko (https://www.mercari.com/jp/help_center/category/5/),m37512400060,https://jp.mercari.com/item/m37512400060
1,2022年1月14日,プレイアーツ改 メタルギア ライジング リベンジェンス 雷電 アクションフィギ…,4500.0,シンたま商店 (https://www.mercari.com/jp/help_center/category/5/),m97958085702,https://jp.mercari.com/item/m97958085702
2,2022年1月14日,化物語 プライズ フィギュア 8個セット 千石撫子 忍野忍 まよい,3500.0,ミェコ@大幅お値下げしました (https://www.mercari.com/jp/help_center/category/5/),m41515634050,https://jp.mercari.com/item/m41515634050
3,2022年1月14日,Re:ゼロから始める異世界生活 デッキ カード ケース プライズ,3333.0,MIMI (https://www.mercari.com/jp/help_center/category/5/),m89648136176,https://jp.mercari.com/item/m89648136176
4,2022年1月14日,スタチューレジェンド キラークイーン 第四部,10900.0,タイタイガー (https://www.mercari.com/jp/help_center/category/5/),m20854614114,https://jp.mercari.com/item/m20854614114
5,2022年1月14日,ジョジョの奇妙な冒険５部　黄金の風　フェイスタオル3枚セット,2300.0,きゃろる（購入前に一言コメント下さい） (https://www.mercari.com/jp/help_center/category/5/),m31197104629,https://jp.mercari.com/item/m31197104629
6,2022年1月14日,ワンピース　フィルムZ フィギュア　8体セット,3654.0,クラウド (https://www.mercari.com/jp/help_center/category/5/),m50070911713,https://jp.mercari.com/item/m50070911713
7,2022年1月14日,ペルソナ罪、罰、3、4、5、デビルサマナー、女神転生ノクターン,12500.0,ぶるーと (https://www.mercari.com/jp/help_center/category/5/),m54248937843,https://jp.mercari.com/item/m54248937843
8,2022年1月14日,ふぃぐりっぷ　ブイズ　フィギュア　ガチャ,3700.0,チップ（プロフお読みください） (https://www.mercari.com/jp/help_center/category/5/),m27530460870,https://jp.mercari.com/item/m27530460870
9,2022年1月14日,ワンピース MSP フィギュアetc 三兄弟 ゾロ　ロー,8000.0,鬼滅 (https://www.mercari.com/jp/help_center/category/5/),m63460437221,https://jp.mercari.com/item/m63460437221
10,2022年1月14日,figma 涼宮ハルヒ関連フィギュア6体 箱なし 現状品,9299.0,おもちゃ専門店しげ (https://www.mercari.com/jp/help_center/category/5/),m78863479265,https://jp.mercari.com/item/m78863479265
11,2022年1月14日,鬼滅の刃 まとめ売り,3999.0,あすけ (https://www.mercari.com/jp/help_center/category/5/),m55364921836,https://jp.mercari.com/item/m55364921836
12,2022年1月13日,【開封品】ジョルノ・ジョバァーナ　超像可動　5部,12800.0,カリーノ09 (https://www.mercari.com/jp/help_center/category/5/),m11759754915,https://jp.mercari.com/item/m11759754915
13,2022年1月13日,サンリオ マイメロディ まとめ売り,3111.0,しらゆき (https://www.mercari.com/jp/help_center/category/5/),m93022584721,https://jp.mercari.com/item/m93022584721
14,2022年1月13日,ペルソナ4　フィギュア　久慈川りせ　セット,4493.0,レトロフィギュア屋さん(毎日出品中) (https://www.mercari.com/jp/help_center/category/5/),m35979294539,https://jp.mercari.com/item/m35979294539
15,2022年1月13日,VAG マジンガー　ネゴラ　ソフビ　フィギュア,1500.0,テディ (https://www.mercari.com/jp/help_center/category/5/),m23912714811,https://jp.mercari.com/item/m23912714811
16,2022年1月13日,登録 富士丸 58mm かんな カンナ 鉋,1800.0,さとちゃん (https://www.mercari.com/jp/help_center/category/5/),m10781222357,https://jp.mercari.com/item/m10781222357
17,2022年1月13日,幽☆遊☆白書カードセット,2700.0,SAORINGO (https://www.mercari.com/jp/help_center/category/5/),m23326295077,https://jp.mercari.com/item/m23326295077
18,2022年1月13日,【新品】五等分の花嫁 スリーブ 5種セット,5555.0,らいおん@プロフお読みください (https://www.mercari.com/jp/help_center/category/5/),m71302464157,https://jp.mercari.com/item/m71302464157
19,2022年1月13日,ファイナルファンタジー×コカコーラ フィギュアコレクション FF789,7999.0,たー (https://www.mercari.com/jp/help_center/category/5/),m52954452191,https://jp.mercari.com/item/m52954452191
